,rent_cost,Area_m2,rooms,Dictrict_8,Dishwasher,Shower_cabin,Bathroom_combined_3,Distance_from_Cremlin,Bathroom_combined_2,Repair_disigne,Ceiling_height_m,Bathroom_combined_4,Parking_underground,Air_conditioner,Repair_cosmetic,House_panel,Bathroom_separate_3,ulitsa_dvor,Bathroom_combined_1,Bathroom_separate_4,House_monolithic_brick,Telephone,House_noun,dvor,Bathroom_combined_0,Television,Parking_paid_yard,House_monolithic,Bathroom_separate_2,Dictrict_1,Dictrict_10,House_block,Pass_lift_1,You_can_with_animals,Dictrict_2,Dictrict_6,Bathroom_separate_1,House_oldfond,Dictrict_9,Loggia_1
11235,91000.0,102.5,4.0,0,False,False,0,10.32,0,0,2.64,0,0,False,1,1,0,0,0,0,0,False,0,0,1,False,0,0,1,0,0,0,1,True,0,0,0,0,0,0
11236,92000.0,80.0,3.0,0,True,True,0,9.99,0,0,2.99,0,0,False,0,0,0,0,1,0,0,False,0,0,0,False,0,0,0,0,0,0,1,True,0,0,0,0,0,0
11237,97000.0,98.6,4.0,0,True,False,0,9.07,0,0,2.99,0,0,False,0,0,0,0,0,0,0,False,0,1,1,True,0,0,0,0,0,0,1,False,0,0,1,0,0,0
11238,100000.0,94.0,3.0,0,True,True,0,9.6,0,1,2.99,0,0,True,0,0,0,0,1,0,0,False,0,1,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11239,100000.0,81.0,3.0,0,True,False,0,9.01,0,0,3.4,0,0,True,0,0,0,1,1,0,0,True,0,0,0,True,1,0,0,0,0,0,1,False,0,0,0,0,0,0
11240,110000.0,86.0,3.0,0,True,False,0,9.67,0,0,2.9,0,0,True,0,0,0,0,1,0,0,False,0,1,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11241,110000.0,115.0,2.0,0,True,False,0,9.86,1,0,2.99,0,0,True,0,0,0,0,0,0,0,False,0,1,0,True,0,1,0,0,0,0,0,True,0,0,0,0,0,1
11242,115000.0,86.0,3.0,0,True,True,0,9.64,0,1,3.11,0,1,True,0,0,0,0,1,0,0,False,0,0,0,True,0,1,0,0,0,0,1,False,0,0,0,0,0,0
11243,120000.0,79.0,3.0,0,False,False,0,8.95,0,0,2.99,0,0,True,0,0,0,0,0,0,0,False,0,0,1,False,0,0,0,0,0,0,1,True,0,0,1,0,0,0
11244,120000.0,115.0,3.0,0,True,True,0,10.53,1,1,3.0,0,1,True,0,0,0,0,0,0,0,True,0,0,0,True,0,1,0,0,0,0,1,False,0,0,0,0,0,1
